antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'ShavingFoam'}),frozenset({'Cheese'}),0.4051724137931034,0.44396551724137934,0.21336206896551724,0.5265957446808511,1.1861185705432762,1.0,0.03347948870392389,1.1745447500968618,0.2637973942321768,0.33559322033898303,0.1486063005112981,0.5035891344763479,ShavingFoam,Cheese
frozenset({'Cheese'}),frozenset({'ShavingFoam'}),0.44396551724137934,0.4051724137931034,0.21336206896551724,0.4805825242718446,1.1861185705432762,1.0,0.03347948870392389,1.1451820818562681,0.2822018635972124,0.33559322033898303,0.12677641761643446,0.5035891344763479,Cheese,ShavingFoam
frozenset({'HeavyCream'}),frozenset({'ShavingFoam'}),0.41594827586206895,0.4051724137931034,0.19181034482758622,0.461139896373057,1.1381325101973323,1.0,0.02327957788347207,1.103862732095491,0.20780297690617364,0.3047945205479452,0.09409026056919735,0.467272075846103,HeavyCream,ShavingFoam
frozenset({'ShavingFoam'}),frozenset({'HeavyCream'}),0.4051724137931034,0.41594827586206895,0.19181034482758622,0.473404255319149,1.1381325101973323,1.0,0.02327957788347207,1.1091083246255662,0.2040384302230908,0.3047945205479452,0.09837481353536949,0.467272075846103,ShavingFoam,HeavyCream
frozenset({'Hazelnut'}),frozenset({'ShavingFoam'}),0.4202586206896552,0.4051724137931034,0.19181034482758622,0.4564102564102564,1.1264593562465903,1.0,0.021533145065398357,1.0942582953806115,0.19364270498308364,0.30272108843537415,0.08613898179115571,0.4649072558647027,Hazelnut,ShavingFoam
frozenset({'ShavingFoam'}),frozenset({'Hazelnut'}),0.4051724137931034,0.4202586206896552,0.19181034482758622,0.473404255319149,1.1264593562465903,1.0,0.021533145065398357,1.1009230233368164,0.18873147695815032,0.30272108843537415,0.0916712805505023,0.4649072558647027,ShavingFoam,Hazelnut
frozenset({'ShavingFoam'}),frozenset({'Honey'}),0.4051724137931034,0.41594827586206895,0.1875,0.46276595744680854,1.1125564987322236,1.0,0.018969233055885854,1.0871457835438718,0.17008162585373982,0.29591836734693877,0.08016016330376077,0.4567715797596737,ShavingFoam,Honey
frozenset({'Honey'}),frozenset({'ShavingFoam'}),0.41594827586206895,0.4051724137931034,0.1875,0.45077720207253885,1.1125564987322236,1.0,0.018969233055885854,1.083035133376708,0.1732196632311151,0.29591836734693877,0.07666891942629724,0.4567715797596737,Honey,ShavingFoam
frozenset({'Apple'}),frozenset({'ShavingFoam'}),0.4051724137931034,0.4051724137931034,0.18318965517241378,0.4521276595744681,1.1158895427795383,1.0,0.01902497027348396,1.0857047204553063,0.17459505541346984,0.2920962199312715,0.0789392537773667,0.4521276595744681,Apple,ShavingFoam
frozenset({'ShavingFoam'}),frozenset({'Apple'}),0.4051724137931034,0.4051724137931034,0.18318965517241378,0.4521276595744681,1.1158895427795383,1.0,0.01902497027348396,1.0857047204553063,0.17459505541346984,0.2920962199312715,0.0789392537773667,0.4521276595744681,ShavingFoam,Apple
frozenset({'ShavingFoam'}),frozenset({'Carrot'}),0.4051724137931034,0.41379310344827586,0.1853448275862069,0.45744680851063835,1.1054964539007093,1.0,0.01768727705112963,1.0804597701149428,0.1604314122008765,0.29251700680272114,0.07446808510638306,0.4526817375886525,ShavingFoam,Carrot
frozenset({'Carrot'}),frozenset({'ShavingFoam'}),0.41379310344827586,0.4051724137931034,0.1853448275862069,0.4479166666666667,1.1054964539007093,1.0,0.01768727705112963,1.0774235523747562,0.16279069767441878,0.29251700680272114,0.07185990338164258,0.4526817375886525,Carrot,ShavingFoam
frozenset({'Bread'}),frozenset({'ShavingFoam'}),0.4073275862068966,0.4051724137931034,0.1853448275862069,0.455026455026455,1.123044016661038,1.0,0.02030692627824021,1.0914797455641112,0.1848625792811841,0.29553264604810997,0.08381259105896786,0.4562366317685467,Bread,ShavingFoam
frozenset({'ShavingFoam'}),frozenset({'Bread'}),0.4051724137931034,0.4073275862068966,0.1853448275862069,0.45744680851063835,1.123044016661038,1.0,0.02030692627824021,1.0923766058147397,0.18419278732726677,0.29553264604810997,0.08456479690522249,0.4562366317685467,ShavingFoam,Bread
